7zip 26.02-1
a52dec 0.8.0-3
aalib 1.4rc5-19
abseil-cpp 20260817.0-2
accountsservice 26.27.3-1
acl 2.4.0-1
acpi_call 1.2.2-382
acpid 2.0.34-2
ada 4.0.0-1
adw-gtk-theme 6.5-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
adwsteamgtk 0.8.0-1
alsa-card-profiles 1:1.6.8-1
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
antigravity 2.10.0-1
aom 3.15.0-1
appstream 1.2.0-1
apr 1.7.6-1
apr-util 1.6.5-1
aquamarine 0.14.0-2
archlinux-keyring 20260727-1
asciiquarium 1.1-7
at-spi2-core 2.60.6-1
atkmm 2.28.5-2
attr 2.6.0-1
aubio 0.4.9-25
audit 4.2.1-1
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
awww 0.12.1-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bat 0.26.1-2
bc 1.08.2-1
binutils 2.47-4
bison 3.8.2-8
blas 3.12.1-2
blesh 0.4.0_devel3-1
blueman 2.4.6-2
bluetui 0.8.1-2
bluez 5.87-2
bluez-hid2hci 5.87-2
bluez-libs 5.87-2
bluez-obex 5.87-2
bluez-utils 5.87-2
bmon 4.0-5
boost-libs 1.92.0-1
breeze-icons 6.29.0-1
brightnessctl 0.5.1-3
broadcom-bt-firmware 12.0.1.1105-1
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.1-1
bubblewrap 0.12.0-1
bzip2 1.0.8-6
c-ares 1.34.8-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.128-1
ca-certificates-utils 20240618-1
caelestia-cli 1.1.2-1
cairo 1.18.4-1
cairomm 1.14.6-1
cairomm-1.16 1.18.1-1
cameractrls 0.6.10-2
capstone 5.0.9-1
catfish 4.20.1-2
cava 0.10.7-1
cblas 3.12.1-2
ccache 4.13.6-1
cdparanoia 10.2-10
cfitsio 1:4.7.0-1
chafa 1.18.2-2
chromaprint 1.6.1-2
chromium 152.0.7977.64-1
cifs-utils 7.5-1
clang 22.1.8-1
cliphist 1:0.7.0-2
cmake 4.4.3-1
cmark-gfm 0.29.0.gfm.13-2
cmatrix 2.0-4
colord 1.4.8-1
compiler-rt 22.1.8-1
composefs 1.0.8-1
compsize 1.5-2
confuse 3.4-1
containerd 2.3.4-1
coreutils 9.11-2
cpio 2.15-3
cppdap 1.58.0-3
cpptrace 1.0.4-2
cpupower 7.2.2-1
