Desktop File	App Name	Exec Command	Categories	Comment
WebHTTrack-Websites.desktop	Browse Mirrored Websites	webhttrack browse	Network;	Browse Websites Mirrored by WebHTTrack
WebHTTrack.desktop	WebHTTrack Website Copier	webhttrack	Network;	Copy websites to your computer
antigravity.desktop	Antigravity	/usr/bin/antigravity %U	Development;Utility;	Experience liftoff
audacity.desktop	Audacity	env UBUNTU_MENUPROXY=0 audacity %F	AudioVideo;Audio;AudioVideoEditing;	Record and edit audio files
avahi-discover.desktop	Avahi Zeroconf Browser	/usr/bin/avahi-discover	GNOME;System;	Browse for Zeroconf services available on your network
blueman-adapters.desktop	Bluetooth Adapters	blueman-adapters	X-XFCE;Settings;HardwareSettings;X-XFCE-SettingsDialog;GTK;	Set Bluetooth Adapter Properties
blueman-manager.desktop	Bluetooth Manager	blueman-manager	GTK;GNOME;Settings;HardwareSettings;	Blueman Bluetooth Manager
bssh.desktop	Avahi SSH Server Browser	/usr/bin/bssh	GNOME;Network;	Browse for Zeroconf-enabled SSH Servers
btop.desktop	btop++	btop	System;Monitor;ConsoleOnly;	Resource monitor that shows usage and stats for processor, memory, disks, network and processes
btrfs_compression_stats.desktop	BTRFS Compression Stats	kitty --hold --class btrfs_zstd_compression_stats.sh -e /home/kshitij/user_scripts/drives/btrfs_zstd_compression_stats.sh	System;Disk;	ZSTD Compression Ratio
bvnc.desktop	Avahi VNC Server Browser	/usr/bin/bvnc	GNOME;Network;	Browse for Zeroconf-enabled VNC Servers
calendar.desktop	Calendar	/usr/bin/kitty --class ikhal -e /usr/bin/ikhal	Office;Calendar;ConsoleOnly;	Terminal CLI calendar application (ikhal)
cava.desktop	Cava	kitty --class cava -e cava	Audio;Video;	Console-based Audio Visualizer for ALSA
chromium.desktop	Chromium	/usr/bin/chromium %U	Network;WebBrowser;	Access the Internet
clipboard_persistance.desktop	Clipboard Persistence	kitty --hold --class 390_clipboard_persistance.py -e /home/kshitij/user_scripts/arch_setup_scripts/scripts/390_clipboard_persistance.py	System;Utility;	Manage clipboard history and persistence
cmake-gui.desktop	CMake	cmake-gui %f	Development;Building;	Cross-platform buildsystem
code-url-handler.desktop	Visual Studio Code - URL Handler	code --open-url %U	Utility;TextEditor;Development;IDE;	Code Editing. Redefined.
code.desktop	Visual Studio Code	code %F	TextEditor;Development;IDE;	Code Editing. Redefined.
com.google.Chrome.desktop	Google Chrome	/usr/bin/google-chrome-stable %U	Network;WebBrowser;	Access the Internet
compress-video.desktop	Compress video	hyprctl dispatch "hl.dsp.global('ryoku:compress')"	AudioVideo;	Pick videos or images and shrink them with ffmpeg
dusky_appearances.desktop	Dusky Appearance TUI	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/hypr/visual/tui_appearance.py	Settings;DesktopSettings;System;Utility;	Real-time Hyprland appearance and opacity configurator
dusky_autostart_tui.desktop	Dusky Autostart	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/hypr/misc/tui_autostart.py	System;Settings;DesktopSettings;Utility;	Manage Hyprland autostart entries and background services via Dusky TUI
dusky_battery.desktop	Dusky Battery	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/battery/notify/tui_battery.py	Settings;System;Utility;	Configure battery thresholds, timings, and alerts
dusky_control_center.desktop	Dusky Control Center	/usr/bin/env python3 /home/kshitij/user_scripts/dusky_system/control_center/dusky_control_center.py	System;Settings;GTK;	Centralized configuration for Dusky OS
dusky_core_manager.desktop	Dusky Core Manager	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/performance/cpu/tui_dusky_core_manager.py	Settings;System;Utility;	Configure CPU P-Cores and E-Cores online status
dusky_disk_monitor_io.desktop	Dusky Disk Monitor	kitty --class dusky_disk_monitor_io.py -e /home/kshitij/user_scripts/drives/dusky_disk_monitor_io.py	System;Monitor;	Real-time Disk I/O Monitoring
dusky_dns.desktop	DNS & Resolver TUI	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/network_manager/tui_dns.py	Network;Settings;System;Utility;	Systemd-resolved DNS, DNS-over-TLS, custom upstreams and privacy presets manager
dusky_fonts.desktop	Dusky Fonts	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/fonts/tui_fonts.py	Settings;DesktopSettings;System;Utility;	System fonts, typefaces, subpixel rendering and cache manager
dusky_glance.desktop	Dusky Glance	/home/kshitij/user_scripts/rofi/dusky_glance.sh	Utility;System;Settings;	Rofi frontend for timers, pomodoro, and system stats
dusky_gsettings.desktop	Dusky GSettings TUI	kitty --class dusky_gsettings.sh -e /home/kshitij/user_scripts/gtk/dusky_gsettings.sh	Settings;DesktopSettings;System;Utility;	Real-time GTK, theme, and desktop environment configurator
dusky_hypridle_timeout.desktop	Dusky Hypridle Timeout	kitty --class dusky_hypridle.sh -e /home/kshitij/user_scripts/hypridle/dusky_hypridle.sh	Settings;System;	Configure Idle Timeout Settings
dusky_hypridle_toggle.desktop	dusky Toggle Hypridle	/home/kshitij/user_scripts/waybar/toggle_hypridle.sh	System;	Enable/Disable Hypridle
dusky_hyprlock_switcher.desktop	Dusky Hyprlock Theme Manager	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/hyprlock/tui_hyprlock.py	Settings;DesktopSettings;Utility;	Switch Hyprlock configurations interactively
dusky_input.desktop	Dusky Input TUI	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/hypr/input/tui_input.py	Settings;DesktopSettings;System;Utility;	Real-time Hyprland input, mouse, and gesture configurator
dusky_keybinds.desktop	Dusky Keybind Manager	kitty --hold --class dusky_keybinds.sh -e /home/kshitij/user_scripts/hypr/input/dusky_keybinds.py	System;Settings;Utility;	Advanced TUI for managing Dusky keybinds with conflict resolution
dusky_keybinds_cheatsheet.desktop	Dusky Keybinds Cheatsheet	kitty --class DuskyKeybindsCheatsheet --title "Dusky Keybinds Cheatsheet" -e python3.14 /home/kshitij/user_scripts/hypr/input/keybinds_cheatsheet.py	System;Settings;Utility;	World-Class Hyprland keybindings dashboard & cheatsheet glance window
dusky_keylogger.desktop	Dusky Keylogger	kitty --class dusky_keylogger -e /home/kshitij/contained_apps/uv/dusky_key_logger/bin/dusky dashboard	Utility;System;	Live keystroke analytics — Rich Live TUI (matugen, tabs, detailed stats + transcript)
dusky_keylogger_tui.desktop	Dusky Keylogger Settings	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/keylogger/tui_keylogger.py	Settings;System;Utility;	Configure persistence/ephemeral logging, daemon, transcripts and analytics via TUI
dusky_keys.desktop	Dusky Keys	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/mako_osd/dusky_keys/tui_dusky_keys.py	Settings;DesktopSettings;System;Utility;	On-screen display keypress visualizer configuration manager
dusky_locale_tui.desktop	Dusky Region Manager	kitty --hold --class dusky_tui -e python3 /home/kshitij/user_scripts/locale/tui_system_region.py	System;Settings;Utility;ConsoleOnly;	Unified TUI for managing Timezone, NTP, Locale, and Keymap via systemd
dusky_matugen_presets.desktop	Dusky Matugen Presets	kitty --class dusky_matugen_presets.sh -e /home/kshitij/user_scripts/theme_matugen/dusky_matugen_presets.sh	Settings;Utility;System;	Vibrant Material Design Theme Switcher
dusky_matugen_tui.desktop	Dusky Matugen TUI	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/theme_matugen/config/tui_matugen.py	Settings;DesktopSettings;Theme;Utility;	Customize Matugen color templates and system application theme integrations
dusky_monitor.desktop	Dusky Monitor Wizard	foot --app-id=dusky_tui python3 /home/kshitij/user_scripts/hypr/monitor/monitor_wizard.py	Settings;Hardware;System;	Configure Hyprland monitors, resolution, and scaling
